Ref,Val,Package,PosX,PosY,Rot,Side
"BATT1","LiPo","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",-37.505000,6.260000,180.000000,bottom
"BZ1","Piezo_Buzzer","KLJ-1230",-32.152000,48.510000,90.000000,bottom
"C1","1uF/50V","C_0603_1608Metric",-18.220000,21.250000,90.000000,bottom
"C2","1uF/50V","C_0603_1608Metric",-29.670000,23.760000,0.000000,bottom
"C3","1uF/50V","C_0603_1608Metric",-19.880000,21.270000,90.000000,bottom
"C4","1uF/25V","C_0402_1005Metric",-3.450000,6.400000,180.000000,bottom
"C5","1uF/50V","C_0603_1608Metric",-5.990000,3.700000,90.000000,bottom
"C6","1uF/50V","C_0603_1608Metric",-7.650000,3.700000,90.000000,bottom
"C7","4.7uF/50V","C_0805_2012Metric",-21.850000,25.885000,90.000000,bottom
"C8","1uF/25V","C_0402_1005Metric",-37.555000,1.960000,180.000000,bottom
"C9","4.7uF/50V","C_0805_2012Metric",-21.820000,21.755000,90.000000,bottom
"C10","1uF/50V","C_0603_1608Metric",-26.455000,23.760000,0.000000,bottom
"C11","1uF/50V","C_0603_1608Metric",-24.010000,20.897500,-90.000000,bottom
"C12","1uF/50V","C_0603_1608Metric",-25.784000,20.897500,90.000000,bottom
"C13","1uF/50V","C_0603_1608Metric",-27.558000,20.897500,90.000000,bottom
"C14","1uF/50V","C_0603_1608Metric",-29.332000,20.897500,90.000000,bottom
"C15","1uF/50V","C_0603_1608Metric",-31.106000,20.897500,90.000000,bottom
"C16","1uF/50V","C_0603_1608Metric",-32.880000,20.897500,90.000000,bottom
"C17","1uF/25V","C_0402_1005Metric",-2.500000,22.760000,90.000000,bottom
"C18","1uF/25V","C_0402_1005Metric",-18.390000,37.383002,180.000000,bottom
"C19","10uF/6.3V","C_0402_1005Metric",-23.360000,68.765000,-90.000000,bottom
"C20","1uF/25V","C_0402_1005Metric",-22.010000,68.765000,-90.000000,bottom
"C21","0.1uF/50V","C_0402_1005Metric",-29.830000,65.790000,0.000000,bottom
"C22","12pF/50V","C_0402_1005Metric",-25.770000,60.900000,90.000000,bottom
"C23","12pF/50V","C_0402_1005Metric",-25.770000,58.840000,90.000000,bottom
"C24","0.1uF/50V","C_0402_1005Metric",-29.700000,36.200000,-90.000000,bottom
"D1","LMBR130","D_SOD-123",-29.405000,27.010000,-90.000000,bottom
"D2","LMBR130","D_SOD-123",-25.430000,28.435000,0.000000,bottom
"D3","LMBR130","D_SOD-123",-25.480000,25.860000,180.000000,bottom
"D4","LMBR130","D_SOD-123",-13.405000,9.160000,90.000000,bottom
"D5","LED_Small","TJ-S1706SW6TGLC2R-A5",-0.900000,7.100000,-90.000000,bottom
"DS1","E-paper_24_pins","24  pin FPC connector",-23.882939,15.519644,180.000000,bottom
"F1","1A","Fuse_0805_2012Metric",-10.181153,11.994944,0.000000,bottom
"J1","USB_C_Receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-3.000000,14.500000,90.000000,bottom
"J4","EXT_CONN","PinHeader_2x13_P2.54mm_Vertical_SMD",-60.580000,6.380000,-90.000000,bottom
"L1","68uH/1A","L_1210_3225Metric",-18.990000,25.200000,90.000000,bottom
"MICRO_SD1","micro_sd_card","HYC77-TF09-200",-4.480000,39.500000,90.000000,bottom
"Q1","DMP2035","SOT-23",-10.105000,8.360000,-90.000000,bottom
"Q2","T2N7002BK","SOT-23",-14.630000,25.535000,180.000000,bottom
"Q3","DMP2035","SOT-23",-33.155000,26.160000,-90.000000,bottom
"Q4","DMP2035","SOT-23",-26.520000,64.490000,-90.000000,bottom
"Q5","DMP2035","SOT-23",-18.205000,45.760000,180.000000,bottom
"Q6","UMH3N","SOT-363_SC-70-6",-7.786000,27.598000,90.000000,bottom
"Q8","T2N7002BK","SOT-23",-31.690000,58.910000,-90.000000,bottom
"R1","470k","R_0402_1005Metric",-3.200000,1.450000,180.000000,bottom
"R2","1.2k","R_0402_1005Metric",-10.700000,2.100000,180.000000,bottom
"R3","470k","R_0402_1005Metric",-5.000000,8.500000,180.000000,bottom
"R4","10k","R_0402_1005Metric",-13.405000,20.710000,90.000000,bottom
"R5","10k","R_0402_1005Metric",-14.630000,20.710000,90.000000,bottom
"R6","0.47","R_0603_1608Metric",-16.540000,21.230000,90.000000,bottom
"R7","1M","R_0402_1005Metric",-33.995000,28.570000,0.000000,bottom
"R8","1.2k","R_0402_1005Metric",-31.990000,28.570000,0.000000,bottom
"R9","470k","R_0402_1005Metric",-24.070000,63.705000,-90.000000,bottom
"R10","1.6M","R_0402_1005Metric",-24.070000,65.735000,-90.000000,bottom
"R11","1M","R_0402_1005Metric",-27.615000,66.880000,0.000000,bottom
"R12","1.2k","R_0402_1005Metric",-25.575000,66.880000,0.000000,bottom
"R13","10k","R_0402_1005Metric",-18.430000,34.006000,180.000000,bottom
"R14","10k","R_0402_1005Metric",-18.430000,35.131670,180.000000,bottom
"R15","10k","R_0402_1005Metric",-18.390000,36.257336,180.000000,bottom
"R16","10k","R_0402_1005Metric",-18.390000,38.508668,180.000000,bottom
"R17","10k","R_0402_1005Metric",-18.390000,39.634334,180.000000,bottom
"R18","10k","R_0402_1005Metric",-18.390000,40.760000,180.000000,bottom
"R19","10k","R_0402_1005Metric",-22.970000,46.400000,-90.000000,bottom
"R20","10k","R_0402_1005Metric",-24.220000,46.400000,-90.000000,bottom
"R21","1M","R_0402_1005Metric",-20.805000,44.560000,-90.000000,bottom
"R22","1.2k","R_0402_1005Metric",-20.805000,46.660000,-90.000000,bottom
"R23","470","R_0402_1005Metric",-0.855000,3.360000,90.000000,bottom
"R24","470k","R_0402_1005Metric",-29.650000,32.600000,-90.000000,bottom
"R25","10k","R_0402_1005Metric",-7.705000,6.250000,-90.000000,bottom
"R26","10k","R_0402_1005Metric",-29.830000,66.890000,0.000000,bottom
"R27","1.2k","R_0402_1005Metric",-32.515000,56.600000,180.000000,bottom
"R28","120","R_0402_1005Metric",-30.660000,61.290000,180.000000,bottom
"R29","470k","R_0402_1005Metric",-32.795000,61.290000,0.000000,bottom
"R30","5.1k 1%","R_0402_1005Metric",-10.523398,20.989852,-90.000000,bottom
"R31","5.1k 1%","R_0402_1005Metric",-9.500000,21.000000,-90.000000,bottom
"SW1","RESET","K2-1822SA-A3DW-06",-34.180000,66.890000,180.000000,bottom
"SW2","BTN","TS36CA-0.7",-90.550000,11.210000,90.000000,bottom
"SW3","BTN","TS36CA-0.7",-90.550000,31.530000,90.000000,bottom
"SW4","BTN","TS36CA-0.7",-90.550000,49.195000,90.000000,bottom
"SW5","BTN","TS36CA-0.7",-90.550000,66.860000,90.000000,bottom
